Region,variation_start_date,Gender,Variation_IN,Contract Terminatio Reason,Seniority_class,Age_class,Qty_Z1_Days,Qty_Z2_Days,Qty_Z3_Days,Qty_P1_Days,Qty_P2_Days,Qty_P3_Days,Qty_A1_Days,Qty_A2_Days,unique ID
Région Flamande,2016-11-01,Femme,IN,Pension (sans ind.),>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Femme,IN,Préavis employeur,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Femme,IN,Préavis employeur,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Femme,IN,Préavis travailleur,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2016-11-01,Femme,IN,Préavis travailleur,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Femme,IN,Raison inconnue,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Femme,IN,Raison inconnue,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,30-40,Not Absent,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,40-50,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,50+,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Absent,Not Absent,1
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,8
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,50+,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,50+,Not Absent,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2016-11-01,Femme,IN,Unregistered,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2016-11-01,Homme,IN,Autre firme,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,De commun accord,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,De commun accord,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Homme,IN,De commun accord,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Homme,IN,De commun accord,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,De commun accord,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Décès,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Absent,1
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,10
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,57
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,73
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,64
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Absent,Absent,1
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2016-11-01,Homme,IN,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,51
Région Flamande,2016-11-01,Homme,IN,Pension (sans ind.),>6_years,50+,Not Absent,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Pension (sans ind.),>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,4
Région Flamande,2016-11-01,Homme,IN,Préavis employeur,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Préavis travailleur,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Homme,IN,Préavis travailleur,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2016-11-01,Homme,IN,RCC sans rémun.,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Raison inconnue,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Rupture de contrat,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Rupture de contrat,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Rupture de contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-11-01,Homme,IN,Rupture de contrat,>6_years,50+,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,11
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,40-50,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,15
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,50+,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,23
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,50+,Not Absent,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,50+,Not Absent,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,16
Région Flamande,2016-11-01,Homme,IN,Unregistered,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,18
Région Flamande,2016-12-01,Femme,IN,Autre firme,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Autre firme,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Autre firme,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Autre firme,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Autre firme,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,15
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,25-30,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,83
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,136
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,123
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2016-12-01,Femme,IN,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,88
Région Flamande,2016-12-01,Femme,IN,Pension (sans ind.),>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-12-01,Femme,IN,Préavis employeur,>6_years,30-40,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Préavis travailleur,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Préavis travailleur,>6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Femme,IN,Préavis travailleur,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2016-12-01,Femme,IN,Préavis travailleur,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-12-01,Femme,IN,Raison inconnue,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-12-01,Femme,IN,Raison inconnue,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-12-01,Femme,IN,Unregistered,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,13
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,51
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,30-40,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,76
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,81
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,53
Région Flamande,2016-12-01,Homme,IN,Préavis employeur,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Préavis travailleur,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Préavis travailleur,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-12-01,Homme,IN,Préavis travailleur,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Préavis travailleur,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Raison inconnue,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2016-12-01,Homme,IN,Unregistered,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,3
Région Flamande,2017-01-01,Femme,IN,Autre Dép/Cat,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Autre firme,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-01-01,Femme,IN,Autre firme,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Autre firme,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-01-01,Femme,IN,De commun accord,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,De commun accord,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,De commun accord,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,3
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,20-25,Not Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,14
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,25-30,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,68
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,30-40,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,110
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,105
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,50+,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
Région Flamande,2017-01-01,Femme,IN,Fin du contrat,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,76
Région Flamande,2017-01-01,Femme,IN,Préavis employeur,>6_years,20-25,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-01-01,Femme,IN,Préavis travailleur,>6_years,20-25,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Préavis travailleur,>6_years,20-25,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Préavis travailleur,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-01-01,Femme,IN,Préavis travailleur,>6_years,30-40,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-01-01,Femme,IN,Préavis travailleur,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Préavis travailleur,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,RCC sans rémun.,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Raison inconnue,>6_years,40-50,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,1
Région Flamande,2017-01-01,Femme,IN,Raison inconnue,>6_years,50+,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,Not Registered,2
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,25-30,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,25-30,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,1
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,30-40,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,4
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,40-50,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,6
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,40-50,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,7
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,50+,Absent,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,2
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,50+,Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,8
Région Flamande,2017-01-01,Femme,IN,Unregistered,>6_years,50+,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,Not Absent,5
